Enzymes	Etot Conc	kcat (1/s)	Vmax	Keq	delrG (kJ/mol)	"Vss,net"	Reaction	Activators	Inhibitors	Rxn Mechanism	Substrate Km (mM)	Regulator Km (mM)	Metab	Mclow (mM)	Mchigh (mM)
6PGL	11	1900	0		-27.92		[c] : D6PGDL ---> 6PG				"0.02,0.02"		2PG	1	100
ac_out	1	0	0	1.50E+00	-1		[c] : AC ---> Acxt						3pDGP	1	100
ACADH	1	20.9	0		18.4	0	[c] : ACCOA + NADH <==> ACA + CoA + NAD	NAD			"0.007,0.025,10,0.08"		3PG	1	100
ACK	1	1000	0		-18	0	[c] : ACTP + ADP <==> AC + ATP				"0.894,0.24,38.5,0.3"	0.257	6PG	1	100
ADH	1	3450	0		-21.29	0	[c] : ACA + NADH <==> NAD + ETOH				"0.086,0.027,1,1"		AC	1	100
ADK	1	0	0		-0.4	0	[c] : AMP + ATP ---> 2 ADP						ACA	1	100
BIOMASS	1	1	1	1.50E+00	-1		[c] : G6P + F6P + R5P + AKG + OAA + E4P + GA3P + 3PG + PEP + PYR + ACCOA + NH3 ---> BIOMASS						ACCOA	0.606	0.606
CAN	1	0	0		5.5	6.0072	[c] : CIT <==> ICIT						ACTP	1.07	1.07
co2_out	1	0	0	1.50E+00	-1	22.8098	[c] : CO2 <==> CO2xt						Acxt	1	100
CS	1	0	0		-36	6.0072	[c] : OAA + ACCOA ---> CIT + CoA	ACCOA(A)	"ATP(C), AKG(C), NAD(A), NADH(A), OAA(A)"	Allosteric 	"1, 0.216,1"		ADP	0.555	0.555
EDA	1	83	0		16.3		[c] : KDPG ---> GA3P + PYR				"0.1,0.1,0.1"		AKG	0.443	0.443
EDD	1	257	0	6.99E+07	-44.75		[c] : 6PG ---> KDPG				"0.04,0.04"		AMP	1	100
ENO	1	78	0	6.06E+00	-4.462	14.7161	[c] : 2PG <==> PEP 				"0.3,0.3"		ATP	9.63	9.63
enz_1	1	0	0	1.50E+00	-1		[c] : NADH + 2 ADP ---> NAD + 2 ATP						BIOMASS	1	100
enz_3	1	0	0	1.50E+00	-1	0	[c] : FOR ---> CO2 + H2						CIT	9.63	9.63
enz_4	1	0	0	1.50E+00	-1	0	[c] : GAL + ATP ---> G6P + ADP						CO2	1	100
etoh_out	1	0	0	1.50E+00	-1	0	[c] : ETOH ---> ETOHxt						CO2xt	1	100
FBA	1	10.5	0	9.96E-05	22.83	7.4774	[c] : FbP <==> GA3P + DHAP				"0.175,0.13,0.23"		CoA	1.37	1.37
FBP	1	0	0	1.12E+02	-11.7	0	[c] : FbP ---> F6P + P1	PEP			"0.0006,1"	2	D6PGDL	1	100
for_out	1	0	0	0	-1	0	[c] : FOR ---> FORxt						DHAP	0.374	0.374
FRD	1	0	0	4.68E-05	24.7	0	[c] : FUM ---> SUCC		OAA				E4P	1	100
FUMH	11	0	0	2.74E+00	-2.5	5.0644	[c] : FUM <==> MAL				"0.494, 0.424"		ETOH	1	100
