Enzymes	Enzyme Name	 equation	Compensated Species	delta G (pH 7.2)	delGlb	delGub	Keq	kcat+(1/s)	kcat-(1/s)	Etot Conc	Vmax	"vss (Gur = -10, O2ur = -1000)"	EC	Substrate Km (mM)	Activators	Inhibitors	Regulator Km (mM)	Metab	Mclow (mM)	Mchigh (mM)
GLCpts		glc[e] + pep[c] --> g6p[c] + pyr[c]		-9.1	-50.4	0.9		250				20.00	0					glc[e]	0.0556	0.0556
PGI		[c] : g6p <==> f6p		3.132	-17.1	20.6		120				1.38	5.3.1.9	"0.28,0.147"				g6p[c]	3.48	3.48
PFK		[c] : atp + f6p --> adp + fdp + h		-3.8	-53.9	21.4		49				11.64	2.7.1.11					f6p[c]	0.6	0.6
FBP		[c] : fdp + h2o --> f6p + pi	"h2o,pi"	-2.8	-48.8	-9.7		22				0.00	3.1.3.11					fdp[c]	0.272	0.272
FBA		[c] : fdp <==> dhap + g3p		4.2	-29.4	27.1		8.5				11.64	4.1.2.13					gap[c]	0.218	0.218
TPI		[c] : g3p <==> dhap		7.598	-24.3	13.4			9000			-11.64	5.3.1.1					dhap[c]	0.167	0.167
GAPD		[c] : g3p + nad + pi <==> 13dpg + h + nadh	"pi,h"	-0.1	-12.8	62.6		268				27.77	1.2.1.12					3pg[c]	2.13	2.13
PGK		[c] : 3pg + atp <==> 13dpg + adp		-10.51	-19.2	56.1			654			-27.77	2.7.2.3					2pg[c]	0.399	0.399
PGM		[c] : 2pg <==> 3pg		6.229	-23.1	14.6			530			-24.29	5.4.2.1					pep[c]	2.67	2.67
ENO		[c] : 2pg <==> h2o + pep		-0.9	-22.9	14.7		355.79				24.29	4.2.1.11					pyr[c]	2.67	2.67
PYK		[c] : atp + pyr <==> adp + h + pep		-31.12	-10.8	65.3			10.17		0.97	-8.51	2.7.1.40					ru5p-D	0.111	0.111
PPS		[c] : atp + h2o + pyr --> amp + 2 h + pep + pi	"h2o,h,pi"	-1.2	-50.9	24.4		1				0.00	2.7.9.2					xu5p-D	0.138	0.138
PDH		[c] : coa + nad + pyr --> accoa + co2 + nadh	co2	-8.3	-73	2.3		6.32				0.00	1.2.4.1					s7p[c]	0.276	0.276
CS		[c] : cit + coa + h <==> accoa + h2o + oaa		8.6	-4	60.9			81			6.01	2.3.3.1					r5p[c]	0.398	0.398
ACONTa		[c] : cit <==> icit		1.5	-11.2	26.5		5.3				-6.01	4.2.1.3					e4p[c]	0.098	0.098
ICDHyr		[c] : icit + nadp <==> akg + co2 + nadph	co2	3.4	-48.4	26.9		106.4				-6.01	1.1.1.42					amp[c]	0.955	0.955
ICL		[c] : icit --> glx + succ		4.9	-38.7	17.8		5.2				0.00	4.1.3.1					adp[c]	0.595	0.595
MALS		[c] : coa + h + mal <==> accoa + glx + h2o	"h,h2o"	8.7	-9.1	63.1			48.1			0.00	2.3.3.9					atp[c]	4.27	4.27
AKGDH		[c] : akg + coa + nad --> co2 + nadh + succoa	co2	-8.3	-72.3	20.3		49				3.57	1.8.1.4					nadp[c]	0.195	0.195
