Enzymes	Etot Conc	kcat (1/s)	Vmax	Keq	delta G (pH 7.2)	"vss (Gur = -10, O2ur = -1000)"	 equation	Activators	Inhibitors	Rxn Mechanism	Substrate Km (mM)	Regulator Km (mM)	Metab	Mclow (mM)	Mchigh (mM)
ACALD				1.66E+03	-4.4	0	[c] : acald + coa + nad <==> accoa + h + nadh						13dpg[c]	0.00124	0.00124
ACALDt				1.00E+00	0.0	0	acald[e] <==> acald[c]						2pg[c]	0.00124	0.00124
ACKr				7.1204E-04	4.3	0	[c] : ac + atp <==> actp + adp						3pg[c]	0	0
ACONTa				7.98E-02	1.5	6.0072	[c] : cit <==> acon-C + h2o						6pgc[c]	0.00898	0.00898
ACONTb				1.40E+00	-0.2	6.0072	[c] : acon-C + h2o <==> icit						6pgl[c]	0.00898	0.00898
ACt2r				1.0000E+00	0.0	0	ac[e] + h[e] <==> ac[c] + h[c]						ac[c]	0.0036	0.0036
ADK1				1.1836E+00	-0.1	0	[c] : amp + atp <==> 2 adp						ac[e]	0	0
AKGDH				1.1896E+06	-8.3	5.0644	[c] : akg + coa + nad --> co2 + nadh + succoa						acald[c]	0	0
AKGt2r				1.0000E+00	0.0	0	akg[e] + h[e] <==> akg[c] + h[c]						accoa[c]	0.193	0.193
ALCD2x				4.06E-05	6.0	0	[c] : etoh + nad <==> acald + h + nadh						actp[c]	1.07	1.07
ATPM				6.7770E+04	-6.6	8.39	[c] : atp + h2o --> adp + h + pi						adp[c]	0.562	0.562
ATPS4r				1.4756E-05	6.6	45.514	adp[c] + 4 h[e] + pi[c] <==> atp[c] + 3 h[c] + h2o[c]						akg[c]	0.443	0.443
Biomass						0.8739	[c] : 1.496 3pg + 3.7478 accoa + 59.8100 atp + 0.3610 e4p + 0.0709 f6p + 0.1290 g3p + 0.2050 g6p + 0.2557 gln-L + 4.9414 glu-L + 59.8100 h2o + 3.5470 nad + 13.0279 nadph + 1.7867 oaa + 0.5191 pep + 2.8328 pyr + 0.8977 r5p --> Biomass + 59.8100 adp + 4.1182 akg + 3.7478 coa + 59.8100 h + 3.5470 nadh + 13.0279 nadp + 59.8100 pi						amp[c]	0.571	0.571
CO2t				1.0000E+00	0.0	-22.8098	co2[e] <==> co2[c]						atp[c]	9.63	9.63
CS				1.9724E+06	-8.6	6.0072	[c] : accoa + h2o + oaa --> cit + coa + h						BIOMASS	0.0001	1
CYTBD				1.6962E+27	-37.2	43.5989	2 h[c] + 0.5 o2[c] + q8h2[c] --> 2 h[e] + h2o[c] + q8[c]						cit[c]	0.00164	0.00164
D_LACt2				1.0000E+00	0.0	0	h[e] + lac-D[e] <==> h[c] + lac-D[c]						co2[c]	0.0001	0.001
ENO				4.5580E+00	-0.9	14.7161	[c] : 2pg <==> h2o + pep						co2[e]	0	0
ETOHt2r				1.0000E+00	0.0	0	etoh[e] + h[e] <==> etoh[c] + h[c]						coa[c]	1.37	1.37
EX_ac(e)						0	[c] : ac <==>						dhap[c]	0.126	0.126
EX_acald(e)						0	[c] : acald <==>						e4p[c]	0	0
EX_akg(e)						0	[c] : akg <==>						etoh[c]	0.0166	0.0166
EX_co2(e)						22.8098	[c] : co2 <==>						etoh[e]	0	0
EX_etoh(e)						0	[c] : etoh <==>						f6p[c]	0.0439	0.0439
EX_for(e)						0	[c] : for <==>						fdp[c]	0.0259	0.0259
EX_fru(e)						0	[c] : fru <==>						for[c]	0	0
EX_fum(e)						0	[c] : fum <==>						for[e]	0	0
EX_glc(e)						-10	[c] : glc-D <==>						fum[c]	0.057	0.057
EX_gln_L(e)						0	[c] : gln-L <==>						g3p[c]	0.001	0.1
EX_glu_L(e)						0	[c] : glu-L <==>						g6p[c]	0.181	0.181
EX_h(e)						17.5309	[c] : h <==>						glc-D[e]	1	10
EX_h2o(e)						29.1758	[c] : h2o <==>						glx[c]	0	0
EX_lac_D(e)						0	[c] : lac-D <==>						h[c]	1	0.01
EX_mal_L(e)						0	[c] : mal-L <==>						icit[c]	0.00164	0.00164
EX_nh4(e)						-4.7653	[c] : nh4 <==>						lac[c]	0	0
EX_o2(e)						-21.7995	[c] : o2 <==>						lac[e]	0	0
EX_pi(e)						-3.2149	[c] : pi <==>						mal[c]	0.0686	0.0686
EX_pyr(e)						0	[c] : pyr <==>						nad[c]	53.5	53.5
EX_succ(e)						0	[c] : succ <==>						nadh[c]	0.473	0.473
FBA				8.4276E-04	4.2	7.4774	[c] : fdp <==> dhap + g3p						nadp[c]	0.00208	0.00208
FBP				1.1208E+02	-2.8	0	[c] : fdp + h2o --> f6p + pi						nadph[c]	0.121	0.121
FORt2				1.00E+00	0.0	0	for[e] + h[e] --> for[c] + h[c]						nh3[c]	0.0001	1
FORti				1.00E+00	0.0	0	for[c] --> for[e]						nh3[e]	0.0001	1
FRD7				4.80116E-05	5.9	0	[c] : fum + q8h2 --> q8 + succ						o2[c]	0.001	10
FRUpts2				4.58E+06	-9.1	0	fru[e] + pep[c] --> f6p[c] + pyr[c]						oaa[c]	0.0001	0.01
FUM				2.7491E+00	-0.6	5.0644	[c] : fum + h2o <==> mal-L						pep[c]	0.184	0.184
FUMt2_2				1.0000E+00	0.0	0	fum[e] + 2 h[e] --> fum[c] + 2 h[c]						pi[c]	0.0001	0.01
GAPD				1.1836E+00	-0.1	16.0235	[c] : g3p + nad + pi <==> 13dpg + h + nadh						pyr[c]	0.128	0.128
GLCpts				4.5812E+06	-9.1	10	glc-D[e] + pep[c] --> g6p[c] + pyr[c]						r5p[c]	0.0362	0.0362
GLNabc				6.7770E+04	-6.6	0	atp[c] + gln-L[e] + h2o[c] --> adp[c] + gln-L[c] + h[c] + pi[c]						ru5p-D[c]	0.128	0.128
GLNS				1.7553E+01	-1.7	0.2235	[c] : atp + glu-L + nh4 --> adp + gln-L + h + pi						s7p[c]	0.22	0.22
GLUDy				1.5582E-07	9.3	-4.5419	[c] : glu-L + h2o + nadp <==> akg + h + nadph + nh4						succ[c]	0.0695	0.0695
GLUN				3.8608E+03	-4.9	0	[c] : gln-L + h2o --> glu-L + nh4						succ[e]	1	10
GLUSy				2.4777E+10	-14.2	0	[c] : akg + gln-L + h + nadph --> 2 glu-L + nadp						succoa[c]	0.233	0.233
GLUt2r				1.0000E+00	0.0	0	glu-L[e] + h[e] <==> glu-L[c] + h[c]						x5p[c]	0.0918	0.0918
GND				2.1939E-01	0.9	4.96	[c] : 6pgc + nadp --> co2 + nadph + ru5p-D						xu5p-D[c]	0.0918	0.0918
H2Ot				1.0000E+00	0.0	-29.1758	h2o[e] <==> h2o[c]								
ICDHyr				3.2455E-03	3.4	6.0072	[c] : icit + nadp <==> akg + co2 + nadph								
ICL				2.5901E-04	4.9	0	[c] : icit --> glx + succ								
LDH_D				2.0671E-05	6.4	0	[c] : lac-D + nad <==> h + nadh + pyr								
MALS				2.3345E+06	-8.7	0	[c] : accoa + glx + h2o --> coa + h + mal-L								
MALt2_2				1.00E+00	0.0	0	2 h[e] + mal-L[e] --> 2 h[c] + mal-L[c]								
MDH				2.0671E-05	6.4	5.0644	[c] : mal-L + nad <==> h + nadh + oaa								
ME1				1.1180E-01	1.3	0	[c] : mal-L + nad --> co2 + nadh + pyr								
ME2				6.7428E-02	1.6	0	[c] : mal-L + nadp --> co2 + nadph + pyr								
NADH16				5.45E+12	-17.4	38.5346	4 h[c] + nadh[c] + q8[c] --> 3 h[e] + nad[c] + q8h2[c]								
NADTRHD				1.6580E+00	-0.3	0	[c] : nad + nadph --> nadh + nadp								
NH4t				1.0000E+00	0.0	4.7653	nh4[e] <==> nh4[c]								
O2t				1.0000E+00	0.0	21.7995	o2[e] <==> o2[c]								
PDH				1.1896E+06	-8.3	9.2825	[c] : coa + nad + pyr --> accoa + co2 + nadh								
PFK				6.0465E+02	-3.8	7.4774	[c] : atp + f6p --> adp + fdp + h								
PFL				5.4085E+03	-5.1	0	[c] : coa + pyr --> accoa + for								
PGI				3.8511E+00	-0.8	4.8609	[c] : g6p <==> f6p								
PGK				8.9221E-03	2.8	-16.0235	[c] : 3pg + atp <==> 13dpg + adp								
PGL				5.4085E+03	-5.1	4.96	[c] : 6pgl + h2o --> 6pgc + h								
PGM				1.0000E+00	0.0	-14.7161	[c] : 2pg <==> 3pg								
PIt2r				1.0000E+00	0.0	3.2149	h[e] + pi[e] <==> h[c] + pi[c]								
PPC				9.4936E+04	-6.8	2.5043	[c] : co2 + h2o + pep --> h + oaa + pi								
PPCK				7.1385E-01	0.2	0	[c] : atp + oaa --> adp + co2 + pep								
PPS				7.5574E+00	-1.2	0	[c] : atp + h2o + pyr --> amp + 2 h + pep + pi								
PTAr				1.6538E-03	3.8	0	[c] : accoa + pi <==> actp + coa								
PYK				7.5765E+03	-5.3	1.7582	[c] : adp + h + pep --> atp + pyr								
PYRt2r				1.0000E+00	0.0	0	h[e] + pyr[e] <==> h[c] + pyr[c]								
RPE				1.0000E+00	0.0	2.6785	[c] : ru5p-D <==> xu5p-D								
RPI				4.3054E-01	0.5	-2.2815	[c] : r5p <==> ru5p-D								
SUCCt2_2				1.0000E+00	0.0	0	2 h[e] + succ[e] --> 2 h[c] + succ[c]								
SUCCt3				1.0000E+00	0.0	0	h[e] + succ[c] --> h[c] + succ[e]								
SUCDi				34.44673879	-2.1	5.0644	[c] : q8 + succ --> fum + q8h2								
SUCOAS				5.3948E+00	-1.0	-5.0644	[c] : atp + coa + succ <==> adp + pi + succoa								
TALA				1.7553E+01	-1.7	1.497	[c] : g3p + s7p <==> e4p + f6p								
THD2				6.0313E-01	0.3	0	2 h[e] + nadh[c] + nadp[c] --> 2 h[c] + nad[c] + nadph[c]								
TKT1				4.0667E-02	1.9	1.497	[c] : r5p + xu5p-D <==> g3p + s7p								
TKT2				1.7553E+01	-1.7	1.1815	[c] : e4p + xu5p-D <==> f6p + g3p								
TPI				9.4457E-02	1.4	7.4774	[c] : dhap <==> g3p								
