Enzymes	Etot Conc	kcat (1/s)	Vmax	Keq	delta G (pH 7.2)	"vss (Gur = -10, O2ur = -1000)"	 equation	Activators	Inhibitors	Rxn Mechanism	Substrate Km (mM)	Regulator Km (mM)	Metab	Mclow (mM)	Mchigh (mM)
ACALD				1.66E+03	-4.4	0	[c] : acald + coa + nad <==> accoa + h + nadh				"[100 200],345.95,1,[50 60],435,32.43"		13pdg[c]	0.00124	0.00124
ACALDt				1.00E+00	0.0	0	acald[e] <==> acald[c]						2pg[c]	0.00124	0.00124
ACKr				7.1204E-04	4.3	0	[c] : ac + atp <==> actp + adp						3pg[c]	0.01	1
ACONTa				7.98E-02	1.5	6.0072	[c] : cit <==> aconc + h2o						ac[c]	0.0036	0.0036
ACONTb				1.40E+00	-0.2	6.0072	[c] : aconc + h2o <==> icit						ac[e]	0	0
ACt2r				1.0000E+00	0.0	0	ac[e] + h[e] <==> ac[c] + h[c]						acald[c]	0.001	0.01
ADK1				1.1836E+00	-0.1	0	[c] : amp + atp <==> 2 adp						accoa[c]	0.193	0.193
AKGDH				1.1896E+06	-8.3	5.0644	[c] : akg + coa + nad --> co2 + nadh + succoa						aconc[c]	0.0001	0.001
AKGt2r				1.0000E+00	0.0	0	akg[e] + h[e] <==> akg[c] + h[c]						actp[c]	1.07	1.07
ALCD2x				4.06E-05	6.0	0	[c] : eth + nad <==> acald + h + nadh						adp[c]	0.562	0.562
ATPM				6.7770E+04	-6.6	8.39	[c] : atp + h2o --> adp + h + pi						akg[c]	0.443	0.443
ATPS4r				1.4756E-05	6.6	45.514	adp[c] + 4 h[e] + pi[c] <==> atp[c] + 3 h[c] + h2o[c]						amp[c]	0.571	0.571
Biomass						0.8739	[c] : 1.496 3pg + 3.7478 accoa + 59.8100 atp + 0.3610 e4p + 0.0709 f6p + 0.1290 g3p + 0.2050 g6p + 0.2557 gln-L + 4.9414 glu-L + 59.8100 h2o + 3.5470 nad + 13.0279 nadph + 1.7867 oa + 0.5191 pep + 2.8328 pyr + 0.8977 r5p --> Biomass + 59.8100 adp + 4.1182 akg + 3.7478 coa + 59.8100 h + 3.5470 nadh + 13.0279 nadp + 59.8100 pi						atp[c]	9.63	9.63
CO2t				1.0000E+00	0.0	-22.8098	co2[e] <==> co2[c]						BIOMASS	0.0001	1
CS				1.9724E+06	-8.6	6.0072	[c] : accoa + h2o + oa --> cit + coa + h						cit[c]	0.00164	0.00164
CYTBD				1.6962E+27	-37.2	43.5989	2 h[c] + 0.5 o2[c] + q8h2[c] --> 2 h[e] + h2o[c] + q8[c]						co2[c]	0.0001	0.001
D_LACt2				1.0000E+00	0.0	0	h[e] + lcts[e] <==> h[c] + lcts[c]						co2[e]	0	0
ENO				4.5580E+00	-0.9	14.7161	[c] : 2pg <==> h2o + pep						coa[c]	1.37	1.37
ETOHt2r				1.0000E+00	0.0	0	eth[e] + h[e] <==> eth[c] + h[c]						d6pgc[c]	0.00898	0.00898
EX_ac(e)						0	[c] : ac <==>						d6pgl[c]	0.00898	0.00898
EX_acald(e)						0	[c] : acald <==>						dhap[c]	0.126	0.126
EX_akg(e)						0	[c] : akg <==>						e4p[c]	0.001	0.01
EX_co2(e)						22.8098	[c] : co2 <==>						eth[c]	0.0166	0.0166
EX_etoh(e)						0	[c] : eth <==>						eth[e]	0	0
EX_for(e)						0	[c] : for <==>						f6p[c]	0.0439	0.0439
EX_fru(e)						0	[c] : fru <==>						fdp[c]	0.0259	0.0259
EX_fum(e)						0	[c] : fum <==>						for[c]	0.001	0.01
EX_glc(e)						-10	[c] : glc <==>						for[e]	0	0
EX_gln_L(e)						0	[c] : gln-L <==>						fum[c]	0.057	0.057
EX_glu_L(e)						0	[c] : glu-L <==>						g3p[c]	0.001	0.1
EX_h(e)						17.5309	[c] : h <==>						g6p[c]	0.181	0.181
EX_h2o(e)						29.1758	[c] : h2o <==>						glc[e]	1	10
EX_lac_D(e)						0	[c] : lcts <==>						glx[c]	0.0001	0.001
EX_mal_L(e)						0	[c] : mal <==>						h[c]	1	0.01
EX_nh4(e)						-4.7653	[c] : nh4 <==>						icit[c]	0.00164	0.00164
EX_o2(e)						-21.7995	[c] : o2 <==>						lcts[c]	0.0001	0.01
EX_pi(e)						-3.2149	[c] : pi <==>						lcts[e]	0	0
EX_pyr(e)						0	[c] : pyr <==>						mal[c]	0.0686	0.0686
EX_succ(e)						0	[c] : succ <==>						nad[c]	0.00535	0.00535
FBA				8.4276E-04	4.2	7.4774	[c] : fdp <==> dhap + g3p						nadh[c]	0.473	0.473
FBP				1.1208E+02	-7.0	0	[c] : fdp + h2o --> f6p + pi						nadp[c]	0.00208	0.00208
FORt2				1.00E+00	0.0	0	for[e] + h[e] --> for[c] + h[c]						nadph[c]	0.121	0.121
FORti				1.00E+00	0.0	0	for[c] --> for[e]						nh4[c]	0.0001	0.001
FRD7				4.80116E-05	5.9	0	[c] : fum + q8h2 --> q8 + succ						nh4[e]	0.0001	0.001
FRUpts2				4.58E+06	-9.1	0	fru[e] + pep[c] --> f6p[c] + pyr[c]						o2[c]	0.001	10
FUM				2.7491E+00	-0.6	5.0644	[c] : fum + h2o <==> mal						oa[c]	0.0001	0.01
FUMt2_2				1.0000E+00	0.0	0	fum[e] + 2 h[e] --> fum[c] + 2 h[c]						pep[c]	0.184	0.184
GAPD				1.1836E+00	-0.1	16.0235	[c] : g3p + nad + pi <==> 13pdg + h + nadh						pi[c]	0.0001	0.01
GLCpts				4.5812E+06	-9.1	10	glc[e] + pep[c] --> g6p[c] + pyr[c]						pyr[c]	0.128	0.128
GLNabc				6.7770E+04	-6.6	0	atp[c] + gln-L[e] + h2o[c] --> adp[c] + gln-L[c] + h[c] + pi[c]						r5p[c]	0.0362	0.0362
GLNS				1.7553E+01	-1.7	0.2235	[c] : atp + glu-L + nh4 --> adp + gln-L + h + pi						rl5p[c]	0.128	0.128
GLUDy				1.5582E-07	9.3	-4.5419	[c] : glu-L + h2o + nadp <==> akg + h + nadph + nh4						s7p[c]	0.22	0.22
GLUN				3.8608E+03	-4.9	0	[c] : gln-L + h2o --> glu-L + nh4						succ[c]	0.0695	0.0695
GLUSy				2.4777E+10	-14.2	0	[c] : akg + gln-L + h + nadph --> 2 glu-L + nadp						succ[e]	0	0
GLUt2r				1.0000E+00	0.0	0	glu-L[e] + h[e] <==> glu-L[c] + h[c]						succoa[c]	0.233	0.233
GND				2.1939E-01	0.9	4.96	[c] : d6pgc + nadp --> co2 + nadph + rl5p						x5p[c]	0.0918	0.0918
H2Ot				1.0000E+00	0.0	-29.1758	h2o[e] <==> h2o[c]						glu-L[c]	0	0.001
ICDHyr				3.2455E-03	3.4	6.0072	[c] : icit + nadp <==> akg + co2 + nadph						gln-L[c]	0	0.001
ICL				2.5901E-04	4.9	0	[c] : icit --> glx + succ						q8[c]	0	0.001
LDH_D				2.0671E-05	6.4	0	[c] : lcts + nad <==> h + nadh + pyr						q8h2[c]	0	0.001
MALS				2.3345E+06	-8.7	0	[c] : accoa + glx + h2o --> coa + h + mal								
MALt2_2				1.00E+00	0.0	0	2 h[e] + mal[e] --> 2 h[c] + mal[c]								
MDH				2.0671E-05	6.4	5.0644	[c] : mal + nad <==> h + nadh + oa								
ME1				1.1180E-01	1.3	0	[c] : mal + nad --> co2 + nadh + pyr								
ME2				6.7428E-02	1.6	0	[c] : mal + nadp --> co2 + nadph + pyr								
NADH16				5.45E+12	-17.4	38.5346	4 h[c] + nadh[c] + q8[c] --> 3 h[e] + nad[c] + q8h2[c]								
NADTRHD				1.6580E+00	-0.3	0	[c] : nad + nadph --> nadh + nadp								
NH4t				1.0000E+00	0.0	4.7653	nh4[e] <==> nh4[c]								
O2t				1.0000E+00	0.0	21.7995	o2[e] <==> o2[c]								
PDH				1.1896E+06	-8.3	9.2825	[c] : coa + nad + pyr --> accoa + co2 + nadh								
PFK				6.0465E+02	-3.8	7.4774	[c] : atp + f6p --> adp + fdp + h								
PFL				5.4085E+03	-5.1	0	[c] : coa + pyr --> accoa + for								
PGI				3.8511E+00	-0.8	4.8609	[c] : g6p <==> f6p								
PGK				8.9221E-03	2.8	-16.0235	[c] : 3pg + atp <==> 13pdg + adp								
PGL				5.4085E+03	-5.1	4.96	[c] : d6pgl + h2o --> d6pgc + h								
PGM				1.0000E+00	0.0	-14.7161	[c] : 2pg <==> 3pg								
PIt2r				1.0000E+00	0.0	3.2149	h[e] + pi[e] <==> h[c] + pi[c]								
PPC				9.4936E+04	-6.8	2.5043	[c] : co2 + h2o + pep --> h + oa + pi								
PPCK				7.1385E-01	0.2	0	[c] : atp + oa --> adp + co2 + pep								
PPS				7.5574E+00	-1.2	0	[c] : atp + h2o + pyr --> amp + 2 h + pep + pi								
