Experiment #	Input Metabolites	Input Metab Concentration	Perturbation Metabolites	Pertb Metab Conc	Gene Plots 	Additional Conditions
1	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,crp,dctA,dcuB	RepCoeff = 1e-6 
2	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-6,srate = 1.66e-4
3	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-6,srate = 1.66e-5
4	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-6,srate = 1.66e-6
5	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-6,srate = 1.66e-7
6	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-6,srate = 1.66e-8
7	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-7,srate = 1.66e-4
8	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-7,srate = 1.66e-5
9	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-7,srate = 1.66e-6
10	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-7,srate = 1.66e-7
11	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-7,srate = 1.66e-8
12	(Oxygen,GLCxt)	(0e0,1e-3)	(Oxygen);(GLCxt,ACxt);(Oxygen,GLCxt,ACxt)	(1e-3);(0e0,1e-3);(1e-3,0e0,1e-3)	arcA,fnr,sdhA,aceA	RepCoeff = 1e-8,srate = 1.66e-4
