Genes	Regulator	Coefficients	Basal Rate	Stimulated Rate
aceA	ArcA(-)FruR(-)IclR(-)IHF(+)	0.08(-)0.08(-)0.08(-)0.008(+)	0	0
aceB	ArcA(-)FruR(-)IclR(-)IHF(+)	0.08(-)0.08(-)0.08(-)0.008(+)		
aceE	ArcA(-)CRP(+)FIS(+)PdhR(-)	0.08(-)0.008(+)0.008(+)0.08(-)		
aceF	ArcA(-)CRP(+)FIS(+)PdhR(-)	0.08(-)0.008(+)0.008(+)0.08(-)		
acnA	ArcA(-)FNR(-)CRP(+)SoxS(+)RpoS(+)	0.08(-)0.08(-)0.008(+)0.008(+)0.008(+)		
acnB	ArcA(-)FruR(-)CRP(+)FIS(-)	0.08(-)0.08(-)0.008(+)0.08(-)		
acs	CRP(+)FNR(+)IclR(+)RpoS(+)	0.008(+)0.008(+)0.008(+)0.008(+)		
adhE	FIS(+)FruR(-)NarL(-)RpoS(+)	0.008(+)0.08(-)0.08(-)0.008(+)		
arcA	ArcA(+)FNR(+)	0.008(+)0.008(+)		
cra(fruP)	CpxR(+)RpoS(+)	0.008(+)0.008(+)		
cydA	ArcA(+)FNR(-)	0.008(+)0.08(-)		
cydB	ArcA(+)FNR(-)	0.008(+)0.08(-)		
cyoA	ArcA(-)FNR(-)	0.08(-)0.08(-)		
cyoB	ArcA(-)FNR(-)	0.08(-)0.08(-)		
cyoC	ArcA(-)FNR(-)	0.08(-)0.08(-)		
cyoD	ArcA(-)FNR(-)	0.08(-)0.08(-)		
dctA	ArcA(-)CRP(-)DcuR(+)RpoN(+)	0.08(-)0.08(-)0.008(+)0.008(+)		
dcuB	CRP(+)DcuR(+)FNR(+)NarL(-)	0.008(+)0.008(+)0.008(+)0.08(-)		
dcuC	CRP(+)DcuR(+)FNR(+)NarL(-)	0.008(+)0.008(+)0.008(+)0.08(-)		
dcuR	CRP(+)DcuR(+)FNR(+)NarL(-)	0.008(+)0.008(+)0.008(+)0.08(-)		
dcuS	CRP(+)DcuR(+)FNR(+)NarL(-)	0.008(+)0.008(+)0.008(+)0.08(-)		
fadR	CRP(-)FadR(-)OmpR(-)	0.08(-)0.08(-)0.08(-)		
fdnG	FNR(+)NarL(+)	0.008(+)0.008(+)		
fdnH	FNR(+)NarL(+)	0.008(+)0.008(+)		
fdnI	FNR(+)NarL(+)	0.008(+)0.008(+)		
fnr	FNR(-)	0.08(-)		
focA	ArcA(+)CRP(+)FNR(+)IHF(+)NarL(-)	0.008(+)0.008(+)0.008(+)0.008(+)0.08(-)		
frdA	DcuR(+)FNR(+)NarL(-)	0.008(+)0.008(+)0.08(-)		
frdB	DcuR(+)FNR(+)NarL(-)	0.008(+)0.008(+)0.08(-)		
frdC	DcuR(+)FNR(+)NarL(-)	0.008(+)0.008(+)0.08(-)		
frdD	DcuR(+)FNR(+)NarL(-)	0.008(+)0.008(+)0.08(-)		
