Genes	Regulator	Regulator Logic Rules	Coefficients	Basal Rate	Stimulated Rate	Regulator Protein	Regulatory Gene	Metabolite	Protein
aceA	ArcA(-)[OR]FruR(-)[OR]IclR(-)[OR]IHF(+)	(ArcA|FruR|IclR|IHF)	0.08(-)0.08(-)0.08(-)0.008(+)	0.0133	0.16(-)0.16(-)0.16(-)0.16(+)	ArcA	arcA	Oxygen(-)	
aceB	ArcA(-)[OR]FruR(-)[OR]IclR(-)[OR]IHF(+)	(ArcA|FruR|IclR|IHF)	0.08(-)0.08(-)0.08(-)0.008(+)	0.0133	0.16(-)0.16(-)0.16(-)0.16(+)	FruR	fruR	exFDP(-)[OR]exF6P(-)	
aceE	ArcA(-)[OR]CRP(+)[OR]FIS(+)[OR]PdhR(-)	(ArcA|CRP|FIS|PdhR)	0.08(-)0.008(+)0.008(+)0.08(-)	0.0133	0.16(-)0.16(+)0.16(+)0.16(-)	IclR	iclR		FadR(+)
aceF	ArcA(-)[OR]CRP(+)[OR]FIS(+)[OR]PdhR(-)	(ArcA|CRP|FIS|PdhR)	0.08(-)0.008(+)0.008(+)0.08(-)	0.0133	0.16(-)0.16(+)0.16(+)0.16(-)	IHF	"ihfA,ihfB"		
acnA	ArcA(-)[OR]FNR(-)[OR]CRP(+)[OR]SoxS(+)[OR]RpoS(+)	(ArcA|FNR|CRP|SoxS|RpoS)	0.08(-)0.08(-)0.008(+)0.008(+)0.008(+)	0.0133	0.16(-)0.16(-)0.16(+)0.16(+)0.16(+)	CRP	crp	GLCxt(-)	
acnB	ArcA(-)[OR]FruR(-)[OR]CRP(+)[OR]FIS(-)	(ArcA|FruR|CRP|FIS)	0.08(-)0.08(-)0.008(+)0.08(-)	0.0133	0.16(-)0.16(-)0.16(+)0.16(-)	FIS	fis		
acs	CRP(+)[AND]FNR(+)[OR]IclR(+)[OR]RpoS(+)	(CRP)&(FNR|IclR|RpoS)	0.008(+)0.008(+)0.008(+)0.008(+)	0.0133	0.16(+)0.16(+)0.16(+)0.16(+)	PdhR	pdhR	exPYR(-)	
adhE	FIS(+)[OR]FruR(-)[OR]NarL(-)[OR]RpoS(+)	(FIS)|(FruR|NarL|RpoS)	0.008(+)0.08(-)0.08(-)0.008(+)	0.0133	0.16(+)0.16(-)0.16(-)0.16(+)	FNR	fnr	Oxygen(-)	
arcA	ArcA(+)[OR]FNR(+)	(ArcA|FNR)	0.008(+)0.008(+)	0.0133	0.16(+)0.16(+)	SoxS	soxS		
fruR	CpxR(+)[OR]RpoS(+)	(CpxR|RpoS)	0.008(+)0.008(+)	0.0133	0.16(+)0.16(+)	RpoS	rpoS		
